city,country,region,latitude,longitude,cost_per_day_usd,avg_temp_c,beach,culture,nature,nightlife,food,adventure,relaxation,popularity,safety,temp_month_1,temp_month_2,temp_month_3,temp_month_4,temp_month_5,temp_month_6,temp_month_7,temp_month_8,temp_month_9,temp_month_10,temp_month_11,temp_month_12,source_dataset,description
Guanajuato,Mexico,north_america,20.9876996,-101.0,135,19.533333333333335,2,10,6,6,8,6,6,8,7,15.5,17.2,20.3,23.1,23.3,22.2,20.7,20.6,19.9,19.0,17.7,14.9,kaggle_worldwide_travel_cities,"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement."
Surabaya,Indonesia,asia,-7.2459717,112.7378266,70,28.758333333333336,4,8,6,6,8,6,6,8,7,28.1,27.8,28.3,29.0,29.3,28.7,28.2,28.4,29.2,29.8,29.6,28.7,kaggle_worldwide_travel_cities,"Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery."
Nuuk,Greenland,north_america,64.1766835,-51.7359356,240,0.0,4,6,10,4,6,8,4,4,7,-7.0,-8.9,-6.8,-1.7,1.0,5.0,7.9,7.4,4.3,0.1,-3.2,-4.9,kaggle_worldwide_travel_cities,"Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm."
Windhoek,Namibia,africa,-22.53356015,17.045477525861745,135,21.01666666666667,2,6,8,6,6,8,6,6,7,23.9,23.7,22.5,20.5,18.3,14.8,15.0,17.9,21.8,24.3,24.9,24.6,kaggle_worldwide_travel_cities,"A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop."
Kingston,Jamaica,north_america,17.9712148,-76.7928128,135,28.400000000000006,6,8,6,8,8,6,6,6,7,27.0,26.8,27.3,27.9,28.7,29.5,29.8,29.8,29.6,28.8,28.0,27.6,kaggle_worldwide_travel_cities,"Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility."
Nafplio,Greece,europe,37.5659229,22.8068782,135,17.55,6,8,8,6,8,6,6,6,7,8.0,8.7,11.4,15.2,20.3,25.5,28.3,27.9,23.6,18.5,13.7,9.5,kaggle_worldwide_travel_cities,"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation."
Tbilisi,Georgia,asia,41.6934591,44.8014495,70,14.491666666666667,2,8,6,6,8,6,6,6,7,3.5,5.1,8.7,13.9,18.1,23.6,25.8,26.0,21.0,14.8,8.9,4.5,kaggle_worldwide_travel_cities,"Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm."
Heidelberg,Germany,europe,49.4093582,8.694724,135,11.816666666666665,2,10,8,6,8,4,6,6,7,3.1,5.0,7.1,9.2,14.8,20.3,20.8,21.0,17.1,12.7,6.6,4.1,kaggle_worldwide_travel_cities,"Cobblestone streets lined with charming old buildings and the gentle flow of the Neckar River create an inviting, romantic atmosphere."
Hobart,Australia,oceania,-42.8825088,147.3281233,135,12.241666666666667,6,8,10,4,8,6,6,6,7,16.8,16.4,15.0,12.8,10.4,8.8,8.5,9.2,10.1,11.5,12.9,14.5,kaggle_worldwide_travel_cities,"Charming waterfront views and a laid-back vibe invite exploration through historic streets, bustling markets, and the surrounding natural beauty of rugged landscapes."
Nagasaki,Japan,asia,33.1154683,129.7874339,135,17.666666666666668,4,8,6,6,8,4,6,6,7,7.6,8.4,11.8,15.9,19.8,23.1,26.9,28.4,25.2,20.3,15.1,9.5,kaggle_worldwide_travel_cities,"Steeped in history and surrounded by lush hills, this city offers a poignant mix of serene gardens and vibrant cultural experiences."
Utrecht,Netherlands,europe,52.0907006,5.1215634,135,11.174999999999999,2,8,6,8,8,4,6,8,7,4.3,5.1,6.7,9.5,13.8,17.4,18.4,18.4,15.3,11.8,7.5,5.9,kaggle_worldwide_travel_cities,"Charming canals lined with cozy cafés and historic buildings create a warm, inviting atmosphere perfect for leisurely strolls and quiet exploration."
Bagan,Myanmar,asia,21.1317111,94.8623644,70,26.425,2,10,8,2,6,6,4,4,7,21.4,24.6,28.4,31.3,30.1,28.0,27.5,27.1,27.0,26.2,24.0,21.5,kaggle_worldwide_travel_cities,"Ancient temples rise from misty plains, where the golden glow of sunrise paints a serene landscape that feels both timeless and mystical."
Malmö,Sweden,europe,55.6052931,13.0001566,135,9.925,6,8,6,6,8,6,6,8,7,2.4,2.6,4.5,7.4,12.9,17.0,18.0,18.1,15.1,10.7,6.4,4.0,kaggle_worldwide_travel_cities,"Charming canals, innovative architecture, and a laid-back vibe make it perfect for leisurely strolls and exploring vibrant cultural scenes."
Amsterdam,Netherlands,europe,52.3730796,4.8924534,135,11.391666666666666,4,10,6,10,8,6,6,10,7,4.6,5.2,7.4,9.6,13.8,17.2,18.4,18.7,15.6,12.2,7.9,6.1,kaggle_worldwide_travel_cities,"Charming canals wind through vibrant neighborhoods, where historic architecture meets cozy cafés and the air buzzes with a creative energy."
New York,United States,north_america,40.7127281,-74.0060152,240,13.766666666666667,4,10,6,10,10,6,6,10,7,1.3,3.0,6.6,12.0,17.5,22.5,26.1,25.2,21.7,15.6,9.3,4.4,kaggle_worldwide_travel_cities,"The city buzzes with energy, offering iconic skylines, diverse cultures, and a sensory overload of sights, sounds, and tastes at every corner."
Chicago,United States,north_america,41.8755616,-87.6244212,240,11.850000000000001,4,10,6,10,10,6,6,10,7,-2.5,-0.9,4.3,10.3,17.0,22.7,24.9,24.2,21.2,13.6,6.3,1.1,kaggle_worldwide_travel_cities,"Dynamic streets filled with diverse food, vibrant arts, and stunning architecture create a lively yet welcoming urban atmosphere by the lake."
Raleigh,United States,north_america,35.7803977,-78.6390989,135,16.783333333333335,4,8,8,6,8,6,6,8,7,5.7,8.5,12.0,16.5,20.8,25.0,27.0,26.1,23.0,17.3,11.2,8.3,kaggle_worldwide_travel_cities,"Tree-lined streets and historic architecture mix with modern art scenes and vibrant food markets, offering a warm, welcoming southern charm."
Trondheim,Norway,europe,63.4304475,10.3952118,240,6.449999999999999,4,8,8,6,6,6,6,6,7,-0.8,-0.4,1.4,4.6,9.9,13.5,15.1,14.5,11.5,6.3,1.8,0.0,kaggle_worldwide_travel_cities,"Charming wooden houses, crisp Nordic air, and a vibrant student atmosphere create a cozy yet lively vibe that's both welcoming and invigorating."
Bruges,Belgium,europe,51.2085526,3.226772,135,11.516666666666667,2,10,6,6,8,4,6,6,7,5.4,5.7,7.7,9.7,12.9,16.3,18.1,18.4,15.9,12.9,8.8,6.4,kaggle_worldwide_travel_cities,"Cobblestone streets lined with medieval architecture and the aroma of fresh waffles create a charming and nostalgic atmosphere, perfect for leisurely exploration."
Reykjavik,Iceland,europe,64.145981,-21.9422367,240,5.3,4,6,10,6,6,8,8,6,7,0.1,1.0,1.6,4.3,6.9,9.7,11.6,11.2,8.6,5.5,2.7,0.4,kaggle_worldwide_travel_cities,"Colorful rooftops, crisp sea air, and the allure of geothermal pools create a unique blend of natural beauty and urban charm."
Seoul,South Korea,asia,37.5666791,126.9782914,135,13.566666666666668,4,10,6,10,10,6,8,10,7,-1.5,1.1,7.6,13.7,18.8,23.4,26.6,27.0,22.7,15.4,7.9,0.1,kaggle_worldwide_travel_cities,"A dynamic blend of futuristic skyscrapers and ancient palaces, bustling markets, and tranquil parks, creating an energetic yet harmonious urban experience."
Ankara,Turkey,asia,39.9207759,32.8540497,135,13.566666666666665,2,8,6,6,8,4,6,8,7,2.0,4.5,7.7,12.7,16.8,21.0,24.8,25.4,20.6,14.7,8.6,4.0,kaggle_worldwide_travel_cities,"A blend of modern and historic vibes, offering bustling markets, serene parks, and a rich tapestry of cultural experiences."
Kyoto,Japan,asia,35.0115754,135.7681441,240,16.916666666666668,2,10,8,4,10,4,6,6,7,5.2,6.2,10.2,15.4,20.2,23.6,28.0,29.1,25.3,18.9,13.3,7.6,kaggle_worldwide_travel_cities,"Serene temples and vibrant gardens blend with the gentle rustle of bamboo forests, creating a tranquil yet deeply enriching experience."
Tampa,United States,north_america,27.9477595,-82.458444,135,23.850000000000005,8,6,8,8,8,6,6,6,7,16.4,19.4,21.5,24.0,26.4,28.1,28.6,28.8,27.3,25.0,21.6,19.1,kaggle_worldwide_travel_cities,"Sun-drenched streets, vibrant waterfronts, and a lively cultural scene create an inviting mix of relaxation and adventure for visitors."
Dublin,Ireland,europe,53.3493795,-6.2605593,135,9.991666666666667,4,8,6,8,8,4,6,8,7,5.4,6.0,6.5,7.9,11.3,13.9,15.4,15.1,13.2,10.8,7.7,6.7,kaggle_worldwide_travel_cities,"Charming cobblestone streets, lively pubs filled with music, and a rich tapestry of history create a welcoming and vibrant atmosphere."
Washington,United States,north_america,38.8950368,-77.0365427,135,15.625000000000002,2,10,6,8,8,4,6,10,7,3.3,5.2,9.3,14.9,19.7,24.8,27.5,26.4,23.0,16.8,10.4,6.2,kaggle_worldwide_travel_cities,"Majestic landscapes blend with vibrant city life, offering a mix of natural beauty, cultural richness, and a welcoming atmosphere."
Livingstone,Zambia,africa,-17.853135,25.861429,135,23.166666666666668,4,6,10,4,6,10,6,4,7,23.8,24.6,24.5,23.3,20.3,17.6,16.9,21.0,25.2,28.0,27.0,25.8,kaggle_worldwide_travel_cities,"Feel the rush of cascading waterfalls and the thrill of wildlife encounters, all amidst a backdrop of vibrant sunsets and warm local hospitality."
Kraków,Poland,europe,50.0619474,19.9368564,135,9.883333333333331,2,10,6,8,8,4,6,8,7,-0.4,1.6,4.3,9.1,13.9,19.1,20.0,20.0,15.1,9.8,4.6,1.5,kaggle_worldwide_travel_cities,"Cobblestone streets lead to vibrant squares filled with the buzz of locals and tourists alike, offering a blend of history and lively culture."
Petra,Jordan,middle_east,30.3258363,35.4745669,135,19.925,2,10,8,2,6,8,4,2,7,9.5,10.9,14.0,19.4,24.0,27.1,28.7,28.6,26.8,22.4,15.9,11.8,kaggle_worldwide_travel_cities,"Wandering through ancient canyons, you'll feel the echoes of history in the rose-red stone, with every step revealing stunning, time-worn architecture."
Athens,Greece,europe,37.9755648,23.7348324,135,19.383333333333336,6,10,6,8,10,6,6,8,7,10.6,11.3,13.1,17.2,21.3,26.1,29.5,29.2,25.1,20.4,16.4,12.4,kaggle_worldwide_travel_cities,"Ancient ruins stand proudly against a backdrop of vibrant street life and bustling markets, where history and modernity create an electrifying blend."
Malé,Maldives,asia,4.1779879,73.5107387,135,29.158333333333335,10,4,10,4,6,6,8,6,7,28.6,29.0,29.6,30.2,29.7,29.7,29.3,29.1,28.8,28.7,28.6,28.6,kaggle_worldwide_travel_cities,"Vibrant markets, azure waters, and the gentle hum of island life create an inviting atmosphere that feels both exotic and familiar."
Austin,United States,north_america,30.2711286,-97.7436995,135,21.316666666666666,2,8,6,10,10,6,6,8,7,10.8,12.9,17.5,20.9,24.8,28.6,30.2,30.3,27.7,22.4,16.5,13.2,kaggle_worldwide_travel_cities,"Live music spills from vibrant bars, food trucks serve up eclectic flavors, and the warm, welcoming vibe makes you feel instantly at home."
Pago Pago,American Samoa,oceania,-14.2754786,-170.7048298,135,27.808333333333334,8,6,10,4,6,8,6,4,7,28.4,28.1,28.4,28.2,28.0,27.5,27.1,27.0,27.4,27.7,27.9,28.0,kaggle_worldwide_travel_cities,"Lush green mountains meet crystal-clear waters, where laid-back island vibes and vibrant Polynesian culture create a welcoming and serene atmosphere."
Luanda,Angola,africa,-8.8272699,13.2439512,135,25.666666666666668,6,6,6,6,8,6,4,6,7,27.4,27.7,28.0,27.6,26.6,23.8,22.3,22.1,23.4,25.4,26.7,27.0,kaggle_worldwide_travel_cities,"A bustling port city with vibrant markets, lively music scenes, and a warm coastal breeze that invites exploration and discovery."
New Orleans,United States,north_america,29.9759983,-90.0782127,135,22.116666666666664,4,10,4,10,10,6,6,8,7,12.5,15.7,19.2,21.7,25.6,28.4,29.1,29.2,27.5,23.4,17.9,15.2,kaggle_worldwide_travel_cities,"Lively streets echo with jazz, while the scent of Creole cuisine fills the air, creating a vibrant and soulful experience."
Raja Ampat,Indonesia,asia,-0.7125553,130.30344727618905,240,27.224999999999998,10,4,10,2,6,8,6,2,7,27.6,27.6,27.6,27.7,27.5,26.8,26.4,26.5,26.7,27.2,27.5,27.6,kaggle_worldwide_travel_cities,"Crystal-clear waters teeming with vibrant marine life and secluded islands offer a serene escape, perfect for snorkeling and diving enthusiasts seeking adventure."
Hamilton Island,Australia,oceania,-20.3546262,148.9560518,240,24.25,10,4,10,6,8,8,8,4,7,27.5,27.3,27.2,25.5,22.4,20.9,19.7,20.6,22.4,24.6,26.0,26.9,kaggle_worldwide_travel_cities,"Turquoise waters and lush landscapes create a serene escape, where gentle sea breezes and vibrant sunsets offer a perfect island retreat."
Melbourne,Australia,oceania,-37.8142454,144.9631732,135,14.866666666666667,6,10,6,8,10,6,8,10,7,20.6,19.7,18.4,15.1,12.2,9.9,9.6,10.6,12.3,14.8,16.5,18.7,kaggle_worldwide_travel_cities,"A vibrant mix of street art, diverse cuisine, and lively laneways create an atmosphere that's both exciting and warmly inviting."
Puebla,Mexico,north_america,18.833333,-98.0,135,17.666666666666668,2,10,6,6,10,6,6,8,7,14.4,16.5,18.4,20.1,20.4,19.1,18.2,18.3,17.8,17.3,16.3,15.2,kaggle_worldwide_travel_cities,"Cobblestone streets filled with vibrant colors, lively markets, and the aroma of rich mole create an inviting and warm atmosphere."
Richmond,United States,north_america,37.5385087,-77.43428,135,15.691666666666663,4,8,6,6,8,6,6,6,7,3.9,6.3,10.2,15.4,19.9,24.3,26.7,25.7,22.6,16.5,10.2,6.6,kaggle_worldwide_travel_cities,"Historic streets lined with charming brick buildings, vibrant art scenes, and the gentle flow of the James River create a welcoming atmosphere."
Bridgetown,Barbados,north_america,13.0977832,-59.6184184,135,27.325,10,6,8,8,8,6,8,6,7,26.3,26.0,26.2,26.8,27.8,28.1,28.0,28.0,28.4,28.1,27.5,26.7,kaggle_worldwide_travel_cities,"Warm ocean breezes mingle with the rhythmic beats of calypso music, creating an inviting atmosphere perfect for unwinding and exploration."
Oaxaca City,Mexico,north_america,17.0604663,-96.7253575,135,21.19166666666667,2,10,6,6,10,6,6,6,7,18.9,20.3,22.1,23.3,23.5,22.1,21.7,21.4,21.4,20.9,19.9,18.8,kaggle_worldwide_travel_cities,Colorful streets filled with vibrant markets and the aroma of rich mole sauces create a warm and inviting cultural tapestry.
San Sebastián,Spain,europe,43.3224219,-1.9838889,135,14.283333333333333,10,8,6,8,10,6,6,6,7,8.6,9.9,11.0,12.6,14.6,17.6,19.7,19.9,18.4,16.2,12.1,10.8,kaggle_worldwide_travel_cities,"Golden beaches meet vibrant pintxo bars and lush green hills, creating a lively yet laid-back atmosphere perfect for unwinding and exploring."
Sedona,United States,north_america,34.8688613,-111.7614394,135,13.716666666666667,2,6,10,4,6,8,10,4,7,4.9,7.3,7.0,12.7,15.4,23.6,24.9,20.6,18.7,14.8,9.1,5.6,kaggle_worldwide_travel_cities,"Red rock formations create a stunning backdrop for peaceful hikes, art galleries, and spiritual retreats, offering a serene escape from the everyday hustle."
Cotonou,Benin,africa,6.3676953,2.4252507,70,27.90833333333333,6,8,6,6,8,6,4,6,7,28.1,29.2,29.4,29.4,28.6,27.1,26.3,25.9,26.5,27.4,28.6,28.4,kaggle_worldwide_travel_cities,"Bustling markets, vibrant street life, and warm coastal breezes create an inviting atmosphere filled with rich cultural experiences and local charm."
Sarajevo,Bosnia and Herzegovina,europe,43.8519774,18.3866868,70,11.750000000000002,2,8,6,6,8,6,6,6,7,0.8,4.2,6.6,11.1,15.3,20.0,22.4,21.8,17.2,12.4,6.8,2.4,kaggle_worldwide_travel_cities,"Cobblestone streets echo with the sound of church bells and the call to prayer, creating a unique blend of cultures and histories."
Tirana,Albania,europe,41.3281482,19.8184435,70,16.525000000000002,4,6,6,6,6,6,6,6,7,7.1,9.2,11.0,14.6,18.9,23.8,26.6,26.3,22.0,17.4,12.9,8.5,kaggle_worldwide_travel_cities,"Vibrant streets filled with eclectic architecture, lively markets, and welcoming locals create an inviting atmosphere that feels both dynamic and laid-back."
Rio de Janeiro,Brazil,south_america,-22.9110137,-43.2093727,135,24.23333333333333,10,8,10,10,8,8,6,8,7,27.3,27.0,26.6,24.8,22.7,21.7,21.4,21.4,23.2,24.1,24.6,26.0,kaggle_worldwide_travel_cities,"Vibrant streets pulse with samba rhythms, stunning beaches meet lush mountains, and every corner offers a burst of color and life."
Curitiba,Brazil,south_america,-25.4295963,-49.2712724,135,18.675,2,8,8,6,8,6,6,8,7,22.1,21.5,21.0,19.0,16.8,15.3,15.2,15.8,18.4,18.4,19.5,21.1,kaggle_worldwide_travel_cities,"Lush parks, innovative urban design, and a blend of cultures create a refreshing and vibrant cityscape that feels both modern and welcoming."
Phnom Penh,Cambodia,asia,11.5730391,104.857807,70,29.05,2,8,4,6,8,6,4,6,7,27.6,28.4,30.0,30.9,30.5,29.8,29.2,29.2,28.5,28.4,28.5,27.6,kaggle_worldwide_travel_cities,"Bustling streets filled with the aroma of street food, vibrant markets, and a rich tapestry of history create an unforgettable atmosphere."
Fès,Morocco,africa,34.0346534,-5.0161926,70,18.466666666666665,2,10,4,4,8,4,6,6,7,10.2,12.0,13.8,15.3,20.4,23.6,27.7,27.9,23.9,20.1,14.8,11.9,kaggle_worldwide_travel_cities,"Winding alleys filled with vibrant souks, the aroma of spices, and the sound of artisans at work create an enchanting, timeless atmosphere."
Toronto,Canada,north_america,43.6534817,-79.3839347,135,10.008333333333333,4,8,6,8,8,6,6,10,7,-2.9,-2.5,2.2,7.5,14.8,19.2,22.9,22.0,18.9,11.8,5.4,0.8,kaggle_worldwide_travel_cities,"Dynamic streets buzzing with diverse cultures, vibrant art scenes, and a skyline that hugs the shimmering lake make for an inviting urban experience."
Lucca,Italy,europe,44.017763900000006,10.454430026192636,135,4.691666666666667,4,8,6,4,8,4,6,6,7,-2.1,-1.3,-1.4,1.7,5.3,11.3,14.1,13.0,8.3,5.8,1.5,0.1,kaggle_worldwide_travel_cities,"Wander through cobblestone streets surrounded by ancient walls, where charming piazzas and the aroma of fresh Italian cuisine fill the air."
Edmonton,Canada,north_america,53.5462055,-113.491241,135,4.825,2,8,8,6,6,6,6,6,7,-8.7,-8.9,-2.5,4.6,12.9,16.8,19.1,17.9,12.6,5.2,-2.7,-8.4,kaggle_worldwide_travel_cities,"Wide-open streets, a lively arts scene, and vibrant festivals create a welcoming atmosphere that feels both dynamic and comfortably laid-back."
Barcelona,Spain,europe,41.3828939,2.1774322,135,16.85833333333333,8,10,6,10,10,6,6,10,7,8.9,10.3,12.7,14.3,18.2,22.9,25.8,25.7,22.0,18.2,13.2,10.1,kaggle_worldwide_travel_cities,"Vibrant streets filled with Gaudí's whimsical architecture, lively tapas bars, and the warm Mediterranean breeze create an inviting and dynamic atmosphere."
Banff,Canada,north_america,51.175076,-115.5720773,240,3.125,2,6,10,4,6,10,8,4,7,-7.6,-6.9,-2.5,2.8,8.1,12.3,15.8,14.7,9.8,3.5,-3.9,-8.6,kaggle_worldwide_travel_cities,"Majestic mountains, crystal-clear lakes, and fresh alpine air create a breathtakingly serene atmosphere, perfect for nature lovers and adventure seekers alike."
Maputo,Mozambique,africa,-25.966213,32.56745,135,23.700000000000003,8,6,8,6,8,6,6,6,7,26.8,26.9,26.3,24.3,22.3,20.2,19.7,20.9,22.4,23.4,24.7,26.5,kaggle_worldwide_travel_cities,"Bustling markets, vibrant street life, and the rhythmic sounds of local music create a lively and colorful atmosphere to explore."
Dar es Salaam,Tanzania,africa,-6.8160837,39.2803583,70,26.591666666666665,8,8,8,6,8,6,6,6,7,28.3,28.6,28.2,26.6,25.9,25.1,24.4,24.7,25.3,26.4,27.4,28.2,kaggle_worldwide_travel_cities,"Lively markets, vibrant street life, and the warm Indian Ocean breeze create a dynamic and welcoming atmosphere full of local charm."
Hamilton,Bermuda,north_america,32.2942679,-64.7853167,240,22.599999999999998,10,6,8,6,8,6,8,6,7,18.6,18.5,18.5,19.9,22.3,25.0,27.2,28.0,27.0,24.6,21.8,19.8,kaggle_worldwide_travel_cities,"Charming streets lined with pastel buildings and the gentle sea breeze create a laid-back, yet vibrant island atmosphere."
Santiago de Chile,Chile,south_america,-33.4377756,-70.6504502,135,15.300000000000002,4,8,8,8,8,8,6,8,7,21.5,20.9,19.0,15.2,11.6,9.2,8.6,10.4,12.6,15.3,18.5,20.8,kaggle_worldwide_travel_cities,"A vibrant city where modern skyscrapers meet historic streets, offering stunning mountain views and a lively cultural scene full of energy."
Shanghai,China,asia,31.2312707,121.4700152,135,18.35833333333333,2,10,4,10,10,6,6,10,7,6.5,7.6,12.4,17.4,22.0,25.4,29.8,30.0,25.8,20.2,15.0,8.2,kaggle_worldwide_travel_cities,"Vibrant streets pulse with energy, blending futuristic skyscrapers with ancient temples, while enticing aromas from street food stalls fill the air."
Kathmandu,Nepal,asia,27.708317,85.3205817,70,18.591666666666665,2,10,8,4,8,8,6,6,7,10.4,13.0,16.7,20.2,21.8,24.0,23.7,23.6,23.0,20.1,15.3,11.3,kaggle_worldwide_travel_cities,"Nestled in a valley surrounded by towering peaks, the city buzzes with vibrant markets, ancient temples, and the aroma of spices."
Auckland,New Zealand,oceania,-36.852095,174.7631803,135,15.71666666666667,6,6,8,8,8,8,6,8,7,20.1,20.3,18.8,16.6,14.3,12.4,11.5,11.7,13.3,14.4,16.4,18.8,kaggle_worldwide_travel_cities,"A lively harbor city where lush landscapes meet urban sophistication, offering a vibrant mix of cultures, flavors, and stunning coastal views."
Québec City,Canada,north_america,46.8137431,-71.2084061,135,6.058333333333334,4,10,8,6,8,6,6,6,7,-9.4,-9.3,-3.5,3.9,12.6,17.4,20.7,19.8,15.8,8.5,1.3,-5.1,kaggle_worldwide_travel_cities,"Cobblestone streets and historic architecture create a charming, old-world atmosphere, while the aroma of fresh pastries fills the crisp air."
Bogotá,Colombia,south_america,4.6533816,-74.0836333,135,14.149999999999999,2,8,6,8,8,6,6,8,7,13.7,14.3,14.4,14.5,14.6,14.1,14.0,14.0,14.0,14.1,14.2,13.9,kaggle_worldwide_travel_cities,"A vibrant mix of colonial charm and modern energy, with bustling markets, rich history, and stunning mountain views that invigorate the senses."
Avarua,Cook Islands,oceania,-21.2074736,-159.7708145,135,24.741666666666664,10,6,8,4,6,6,8,4,7,26.6,26.7,26.8,26.0,24.8,23.6,22.9,22.7,23.1,23.4,24.6,25.7,kaggle_worldwide_travel_cities,"Tropical breezes and stunning ocean views create a laid-back island vibe, inviting you to unwind and soak in the serene beauty."
Izmir,Turkey,asia,38.23166,27.02997,135,17.775,8,8,6,6,8,6,6,8,7,7.7,9.2,11.5,15.6,20.3,25.4,29.0,28.7,24.4,18.7,13.6,9.2,kaggle_worldwide_travel_cities,"Coastal breezes carry the scent of the sea through bustling markets and lively streets, offering a vibrant yet laid-back Mediterranean vibe."
Skopje,North Macedonia,europe,41.9961816,21.4319213,70,13.883333333333335,2,8,6,6,6,6,4,6,7,1.5,5.5,8.6,13.3,17.7,23.0,25.4,25.4,20.0,14.3,8.3,3.6,kaggle_worldwide_travel_cities,"Wandering through eclectic streets, you'll encounter a blend of ancient history and modern quirks, with vibrant markets and grand statues at every turn."
Cartagena,Colombia,south_america,10.4265566,-75.5441671,135,28.316666666666666,8,10,6,8,8,6,6,8,7,27.4,27.6,27.8,28.5,28.9,28.8,28.8,28.8,28.9,28.4,28.0,27.9,kaggle_worldwide_travel_cities,"Winding cobblestone streets, vibrant colonial architecture, and the rhythmic sound of salsa create a lively and colorful coastal atmosphere."
Dubrovnik,Croatia,europe,42.6491029,18.0939501,135,17.14166666666667,8,10,8,6,8,6,6,6,7,8.9,9.8,11.8,14.1,18.7,23.9,26.3,26.9,22.6,18.0,14.3,10.4,kaggle_worldwide_travel_cities,"Wander through ancient stone streets, bask in the Adriatic sun, and feel the blend of history and sea breeze at every corner."
